Keyword,AMZ Search Volume,Google Search Volume,Google CPC,Google Competition,Amazon_Search_URL,Product_count,Product_url
cryptogram puzzles for adults,38563,10.0,1.52,High,https://www.amazon.com/s?k=cryptogram+puzzles+for+adults&page=1,857,https://www.amazon.com/s?k=cryptogram+puzzles+for+adults&page=1
gratitude journals for men,38226,390.0,1.55,High,https://www.amazon.com/s?k=gratitude+journals+for+men&page=1,4000,https://www.amazon.com/s?k=gratitude+journals+for+men&page=1
gratitude journal for woman,38194,0.0,0.00,Low,https://www.amazon.com/s?k=gratitude+journal+for+woman&page=1,8000,https://www.amazon.com/s?k=gratitude+journal+for+woman&page=1
practice writing for kids,38285,0.0,0,Low,https://www.amazon.com/s?k=practice+writing+for+kids&page=1,10000,https://www.amazon.com/s?k=practice+writing+for+kids&page=1
cryptograms puzzle for adults,38453,0.0,0,Low,https://www.amazon.com/s?k=cryptograms+puzzle+for+adults&page=1,960,https://www.amazon.com/s?k=cryptograms+puzzle+for+adults&page=1
cryptogram books for adults,38268,0.0,0,Low,https://www.amazon.com/s?k=cryptogram+books+for+adults&page=1,887,https://www.amazon.com/s?k=cryptogram+books+for+adults&page=1
stem activities for kids,37917,0.0,0.00,Low,https://www.amazon.com/s?k=stem+activities+for+kids&page=1,6000,https://www.amazon.com/s?k=stem+activities+for+kids&page=1
blocks for toddlers 1-3,38000,0.0,0.00,Low,https://www.amazon.com/s?k=blocks+for+toddlers+1-3&page=1,3000,https://www.amazon.com/s?k=blocks+for+toddlers+1-3&page=1
gratitude journal for men,38194,390.0,1.55,High,https://www.amazon.com/s?k=gratitude+journal+for+men&page=1,4000,https://www.amazon.com/s?k=gratitude+journal+for+men&page=1
mead composition notebooks,38271,0.0,0.00,Low,https://www.amazon.com/s?k=mead+composition+notebooks&page=1,870,https://www.amazon.com/s?k=mead+composition+notebooks&page=1
cursive hand writing,37828,1600.0,0,High,https://www.amazon.com/s?k=cursive+hand+writing&page=1,3000,https://www.amazon.com/s?k=cursive+hand+writing&page=1
1 composition notebook,38372,210.0,0.85,High,https://www.amazon.com/s?k=1+composition+notebook&page=1,4000,https://www.amazon.com/s?k=1+composition+notebook&page=1
gestational diabetes log,38013,390.0,0.10,High,https://www.amazon.com/s?k=gestational+diabetes+log&page=1,494,https://www.amazon.com/s?k=gestational+diabetes+log&page=1
cursive writing kids,37819,0.0,0,Low,https://www.amazon.com/s?k=cursive+writing+kids&page=1,20000,https://www.amazon.com/s?k=cursive+writing+kids&page=1
gratitude journals women,37905,0.0,0.00,Low,https://www.amazon.com/s?k=gratitude+journals+women&page=1,9000,https://www.amazon.com/s?k=gratitude+journals+women&page=1
tunnel for toddlers 1-3,37913,0.0,0.00,Low,https://www.amazon.com/s?k=tunnel+for+toddlers+1-3&page=1,417,https://www.amazon.com/s?k=tunnel+for+toddlers+1-3&page=1
gratitude journal or,37748,0.0,0.00,Low,https://www.amazon.com/s?k=gratitude+journal+or&page=1,1000,https://www.amazon.com/s?k=gratitude+journal+or&page=1
abacus for toddlers 1-3,38016,0.0,0.00,Low,https://www.amazon.com/s?k=abacus+for+toddlers+1-3&page=1,495,https://www.amazon.com/s?k=abacus+for+toddlers+1-3&page=1
5 composition notebook,37715,0.0,0.00,Low,https://www.amazon.com/s?k=5+composition+notebook&page=1,8000,https://www.amazon.com/s?k=5+composition+notebook&page=1
cryptogram puzzle books,37935,0.0,0.00,Low,https://www.amazon.com/s?k=cryptogram+puzzle+books&page=1,921,https://www.amazon.com/s?k=cryptogram+puzzle+books&page=1
